date,total_distance,total_elapsed_time,max_heart_rate,num_lengths,swim_stroke,workout_id,total_distance_miles,total_time_minutes,backstroke,butterfly,freestyle,im,mixed
2025-10-13,2971.8,2967.8,159.0,130.0,"freestyle, mixed",1,1.8010909090909093,49.46333333333334,0,0,8,0,2
2025-10-14,2423.16,2929.0,174.0,106.0,"freestyle, im, mixed, butterfly",2,1.468581818181818,48.81666666666667,0,1,25,2,1
2025-10-16,1988.82,2981.2,166.0,87.0,"freestyle, im, mixed, butterfly",3,1.2053454545454545,49.68666666666666,0,2,9,10,4
2025-10-21,1943.1,2640.9,164.0,85.0,"freestyle, mixed, im, backstroke, butterfly",4,1.1776363636363636,44.015,1,2,14,10,11
2025-10-30,1623.06,3142.9,172.0,71.0,"freestyle, im, backstroke",5,0.9836727272727273,52.38166666666667,1,0,2,8,0
2025-11-04,960.12,2565.6,161.0,42.0,"freestyle, im, butterfly, backstroke",6,0.5818909090909091,42.76,1,2,4,4,0
2025-11-06,1394.46,2266.1,161.0,61.0,"freestyle, im, mixed",7,0.8451272727272727,37.76833333333333,0,0,10,3,1
2025-11-10,1440.1799999999998,1819.3,154.0,63.0,"freestyle, mixed",8,0.8728363636363635,30.321666666666665,0,0,15,0,1
2025-11-12,1645.9199999999998,2358.0,161.0,72.0,"freestyle, im, backstroke",9,0.9975272727272726,39.3,1,0,13,6,0
2025-11-14,1897.38,2469.2,179.0,83.0,"freestyle, mixed, im",10,1.1499272727272727,41.15333333333333,0,0,15,2,2
2025-11-18,1874.52,2552.7,145.0,82.0,"freestyle, backstroke",11,1.1360727272727273,42.544999999999995,1,0,19,0,0
2025-11-19,1417.32,2439.3,168.0,62.0,"freestyle, im, backstroke, butterfly, mixed",12,0.8589818181818182,40.655,4,1,14,2,1
2025-11-20,2308.86,2731.9,159.0,101.0,freestyle,13,1.399309090909091,45.531666666666666,0,0,25,0,0
2025-11-26,1988.82,2492.9,152.0,87.0,"freestyle, mixed",14,1.2053454545454545,41.54833333333333,0,0,2,0,1
2025-12-01,1897.38,2210.3,160.0,83.0,"freestyle, backstroke, mixed",15,1.1499272727272727,36.83833333333334,2,0,3,0,1
2025-12-03,1417.32,2553.5,171.0,62.0,"freestyle, im, mixed",16,0.8589818181818182,42.55833333333333,0,0,14,15,1
2025-12-05,1485.8999999999999,2238.8,154.0,65.0,"freestyle, im, backstroke, mixed",17,0.9005454545454544,37.31333333333334,1,0,6,3,1
2025-12-08,1463.04,1534.6,156.0,64.0,"freestyle, im",18,0.8866909090909091,25.576666666666664,0,0,4,4,0
2026-01-03,1394.46,2002.6,161.0,61.0,"freestyle, im, mixed",19,0.8451272727272727,33.376666666666665,0,0,8,2,2
2026-01-04,9144.0,8041.8,171.0,400.0,freestyle,20,5.541818181818182,134.03,0,0,56,0,0
